Date,Value
2023-09-27,96.2378
2023-09-26,96.1456
2023-09-23,96.0419
2023-09-22,96.0762
2023-09-21,96.6172
2023-09-20,96.2236
2023-09-19,96.6472
2023-09-16,96.6338
2023-09-15,96.1609
2023-09-14,95.9794
2023-09-13,94.7035
